bootstrap_index,mean_thrust_N,std_thrust_N,min_sampled_thrust_N,max_sampled_thrust_N,mean_voltage_V,std_voltage_V,sampled_unit_ids
401,3.0325988125,0.125188419455459,2.932601575,3.238860475,10.9908208333333,0.325676883358595,validation_seed2003_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post
402,2.990815525,0.0900294328772085,2.932601575,3.10704285,10.8708625,0.279771354747949,validation_seed2003_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post
403,3.07992091666667,0.143131011793079,2.9102753,3.238860475,11.1552708333333,0.267288015264747,train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre
404,3.10892760416667,0.123721258796822,2.9102753,3.238860475,11.2084583333333,0.233651058560983,train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_pre
405,3.07066105416667,0.142822295044794,2.9102753,3.238860475,11.1406583333333,0.266129380972239,train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre
406,3.02887776666667,0.129028073642075,2.9102753,3.238860475,11.0207,0.293546661111996,validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre
407,3.10554470833333,0.152355197472967,2.932601575,3.238860475,11.1229,0.395556252320705,train_seed2002_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_pre
408,3.03598170833333,0.0914288145388294,2.9102753,3.10704285,11.0763791666667,0.176959421490261,train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_post
409,2.977901475,0.0809308481136784,2.9102753,3.10704285,10.9280666666667,0.207557994104461,train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post
410,3.00684130416667,0.0921104866805043,2.9102753,3.10704285,10.9393166666667,0.273751579295296,train_seed2001_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post
411,3.0196847625,0.124143720225463,2.9102753,3.238860475,11.048025,0.233248071267481,train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_pre
